xi                  |yi                  |U(xi)               |yi - U(xi)          
1.6400000000000001  |62.3355732548875    |62.336528924672024  |-0.000955669784524105
1.65                |64.1872490748210    |64.18818434374998   |-0.000935268929012523
1.6600000000000001  |66.0923839601143    |66.09329784883204   |-0.000913888717761324
1.67                |68.0522302428594    |68.05312175343798   |-0.000891510578554744
1.6800000000000002  |70.0680620879128    |70.06893020364804   |-0.000868115735258357
1.69                |72.1411757446555    |72.14201942986199   |-0.000843685206476152
1.7000000000000002  |74.2728898001937    |74.27370800000003   |-0.000818199806289499
1.71                |76.4645454339991    |76.465337074142     |-0.000791640142892902
1.72                |78.7175066739925    |78.71827066060798   |-0.000763986615439194
1.73                |81.0331606540491    |81.03389587347799   |-0.000735219428918299
1.74                |83.4129178729855    |83.41362319155199   |-0.000705318566502910
1.75                |85.8582124549371    |85.85888671875      |-0.000674263812925346
1.76                |88.3705024112079    |88.37114444595201   |-0.000642034744103626
1.77                |90.9512699035496    |90.951878514278     |-0.000608610728420445
1.78                |93.6020215088817    |93.602595479808     |-0.000573970926325273
1.79                |96.3242884854519    |96.32482657974201   |-0.000538094290092772
1.8                 |99.1196270404367    |99.12012800000001   |-0.000500959563339620
1.81                |101.989618598981    |101.990081144262    |-0.000462545280754512
1.82                |104.935870074680    |104.93629290444802  |-0.000422829767686039
1.83                |107.960014141498    |107.96039593263802  |-0.000381791139872689
1.8399999999999999  |111.063709507129    |111.06404891443195  |-0.000339407303087569
1.85                |114.248641187795    |114.24893684375003  |-0.000295655955184770
1.8599999999999999  |117.516520784496    |117.51677129907196  |-0.000250514575725447
1.87                |120.869086760677    |120.86929072111803  |-0.000203960440927631
1.88                |124.308104721355    |124.30826069196796  |-0.000155970612667033
1.8900000000000001  |127.835367693680    |127.83547421562204  |-0.000106521941589222
1.9                 |131.452696408935    |131.45275199999998  |-5.55910654043146e-5
1.9100000000000001  |135.161939585972    |135.16194274038207  |-3.15441008069683e-6
1.92                |138.964974216100    |138.964923404288    |5.08118119455503e-5 
1.9300000000000002  |142.863705849399    |142.86359951779806  |0.000106331600903786
1.94                |146.860068882483    |146.85990545331197  |0.000163429171351481
1.9500000000000002  |150.956026847701    |150.95580471875007  |0.000222128951065770
1.96                |155.153572703775    |155.15329024819198  |0.000282455583089813
1.97                |159.454729127889    |159.454384693958    |0.000344433931218191
1.98                |163.861548809179    |163.861140720128    |0.000408089050807803
1.99                |168.376114743746    |168.375641297502    |0.000473446243546505
2.0                 |173.000540531010    |173.0               |0.000540531009647793
